"st_cnty","night_pop","day_pop"
"22067","25398","23338"
"22069","38659","38501"
"22071","391006","458305"
"22073","154475","169609"
"22075","23410","26964"
"22077","21940","18593"
"22079","130562","144248"
"22081","8477","7685"
"22083","20192","19768"
"22085","24032","21140"
"22087","46721","38956"
"22089","52879","53778"
"22091","10262","7302"
"22093","21037","20944"
"22095","43184","38115"
"22097","82764","78539"
"22099","53621","43605"
"22101","49774","54469"
"22103","258111","236562"
"22105","133777","134825"
"22107","4462","4085"
"22109","111021","120154"
"22111","22330","18165"
"22113","59830","49805"
"22115","48847","46604"
"22117","46582","44029"
"22119","38798","38840"
"22121","26427","26174"
"22123","10982","10087"
"22125","15460","14922"
"22127","14134","14166"
"23001","107679","105323"
"23003","67111","65429"
"23005","293557","330092"
"23007","29897","28713"
"23009","54811","48826"
"23011","122083","122435"
"23013","39771","36425"
"23015","34342","29559"
"23017","57618","48313"
"23019","151096","152164"
"23021","16800","14796"
"23023","35634","30644"
"23025","50592","45847"
"23027","39694","30277"
"23029","31490","28920"
"23031","206229","171295"
"24001","70975","73707"
"24003","576031","567537"
"24005","828431","826940"
"24009","92003","67332"
"24011","33304","26566"
"24013","168429","139075"
"24015","102826","87764"
"24017","161503","126895"
"24019","31998","29003"
"24021","255648","239104"
"24023","29163","27036"
"24025","253956","220530"
"24027","323196","326906"
"24029","19383","19028"
"24031","1052567","1019716"
"24033","909308","788182"
"24035","50251","39826"
"24037","112664","105769"
"24039","25675","25048"
"24041","36968","38925"
"24043","150926","149890"
"24045","103195","106685"
"24047","51823","54865"
"24510","602495","714346"
"25001","213413","208660"
"25003","126348","131290"
"25005","564022","517628"
"25007","17352","17463"
"25009","790638","734610"
"25011","70963","60784"
"25013","470406","481309"
"25015","161355","157457"
"25017","1614714","1719776"
"25019","11327","12203"
"25021","705388","705723"
"25023","518132","451265"
"25025","807252","1135870"
"25027","830839","787591"
"26001","10362","8401"
"26003","9097","8774"
"26005","117327","97816"
"26007","28360","28378"
"26009","23365","19531"
"26011","15041","14444"
"26013","8320","8480"
"26015","61157","42891"
"26017","103923","93603"
"26019","17753","13365"
"26021","154141","153092"
"26023","43622","39361"
"26025","134487","133533"
"26027","51653","38698"
"26029","26244","24886"
"26031","25413","22183"
"26033","37517","36166"
"26035","30757","28130"
"26037","79332","53536"
"26039","13901","12962"
"26041","35857","34530"
"26043","25383","27796"
"26045","109826","100655"
"26047","33308","36710"
"26049","406892","382774"
"26051","25337","19294"
"26053","15096","15132"
"26055","92573","99797"
"26057","40599","37710"
"26059","45749","39114"
"26061","36219","36738"
"26063","31166","28282"
"26065","285284","335047"
"26067","64210","53741"
"26069","25081","22607"
"26071","11117","10218"
"26073","70562","73394"
"26075","158823","149524"
"26077","264870","266598"
"26079","17824","13995"
"26081","653786","750232"
"26083","2113","3351"
"26085","11881","9232"
"26087","88028","69034"
"26089","21764","18075"
"26091","98266","83870"
"26093","191224","151779"
"26095","6283","5881"
"26097","10787","10473"
"26099","874759","790539"
"26101","24528","24235"
"26103","66516","66021"
"26105","29100","27359"
"26107","43545","46114"
"26109","22983","20503"
"26111","83209","83249"
"26113","15113","11934"
"26115","150439","121306"
"26117","63968","54269"
"26119","9265","8435"
"26121","173588","165116"
"26123","48892","39165"
